PGA (g),PoE(IO),PoE(LS),PoE(CP)
0.4444444444444444,0.9999994572611139,0.9999128404283619,0.8130716011429333
0.44644644644644643,0.9999995246152611,0.9999235534554096,0.8225499537545695
0.44844844844844844,0.9999995836358838,0.9999329780979548,0.8316787666130082
0.45045045045045046,0.9999996353497451,0.9999412652607448,0.8404612339152274
0.45245245245245247,0.9999996806578081,0.9999485487430846,0.8489013084176034
0.4544544544544544,0.9999997203505374,0.9999549470982555,0.8570036419368956
0.45645645645645644,0.9999997551213564,0.9999605653018201,0.8647735259745342
0.45845845845845845,0.9999997855784805,0.9999654962469379,0.8722168328491511
0.46046046046046046,0.9999998122553193,0.9999698220833121,0.8793399576883207
0.4624624624624625,0.9999998356196211,0.9999736154149664,0.8861497615961
0.46446446446446443,0.9999998560815064,0.9999769403707397,0.8926535162786047
0.46646646646646645,0.9999998740005278,0.9999798535601521,0.8988588503758731
0.46846846846846846,0.9999998896918704,0.9999824049261649,0.9047736977149763
0.47047047047047047,0.9999999034317978,0.9999846385052976,0.9104062476670135
0.4724724724724725,0.9999999154624348,0.9999865931045998,0.9157648977595244
0.4744744744744745,0.999999925995965,0.9999883029040774,0.9208582086661664
0.47647647647647645,0.9999999352183164,0.9999897979923555,0.9256948616673935
0.47847847847847846,0.9999999432923964,0.9999911048426051,0.9302836186494918
0.4804804804804805,0.9999999503609291,0.9999922467350743,0.9346332846847456
0.4824824824824825,0.9999999565489474,0.9999932441319369,0.9387526732128204
0.4844844844844845,0.9999999619659757,0.9999941150095993,0.9426505738226764
0.48648648648648646,0.9999999667079481,0.9999948751530845,0.9463357226154913
0.48848848848848847,0.9999999708588878,0.9999955384166431,0.9498167751121699
0.4904904904904905,0.9999999744923816,0.9999961169543087,0.9531022816540093
0.4924924924924925,0.9999999776728724,0.9999966214237317,0.95620066523194
0.4944944944944945,0.9999999804567912,0.9999970611662714,0.9591202016684011
0.4964964964964965,0.9999999828935514,0.9999974443660135,0.9618690020662698
0.4984984984984985,0.9999999850264185,0.9999977781900908,0.9644549974312578
0.5005005005005005,0.9999999868932736,0.9999980689124345,0.9668859253677188
0.5025025025025025,0.9999999885272817,0.9999983220228454,0.9691693187427892
0.5045045045045045,0.9999999899574775,0.9999985423230745,0.9713124962101036
0.5065065065065065,0.9999999912092792,0.9999987340114102,0.9733225544818673
0.5085085085085085,0.9999999923049373,0.9999989007571081,0.9752063622367497
0.5105105105105106,0.9999999932639297,0.9999990457658482,0.9769705555507582
0.5125125125125125,0.9999999941033059,0.9999991718372688,0.9786215347388549
0.5145145145145145,0.9999999948379895,0.9999992814155134,0.9801654624965106
0.5165165165165165,0.999999995481043,0.9999993766336148,0.981608263232515
0.5185185185185185,0.9999999960438999,0.9999994593524493,0.9829556234871202
0.5205205205205206,0.9999999965365668,0.9999995311949088,0.9842129933328703
0.5225225225225225,0.9999999969678023,0.9999995935758652,0.9853855886591871
0.5245245245245245,0.9999999973452719,0.9999996477284304,0.9864783942458654
0.5265265265265265,0.9999999976756844,0.999999694726962,0.9874961675349905
0.5285285285285285,0.9999999979649113,0.9999997355072084,0.9884434430153806
0.5305305305305306,0.9999999982180916,0.9999997708839412,0.989324537138388
0.5325325325325325,0.9999999984397225,0.9999998015663815,0.990143553688729
0.5345345345345345,0.9999999986337399,0.9999998281716919,0.9909043895388933
0.5365365365365365,0.9999999988035885,0.9999998512367705,0.9916107407205612
0.5385385385385385,0.9999999989522829,0.9999998712285575,0.9922661087512982
0.5405405405405406,0.9999999990824613,0.9999998885530381,0.9928738071595555
0.5425425425425425,0.999999999196433,0.9999999035631036,0.9934369681556668
0.5445445445445445,0.9999999992962185,0.9999999165654136,0.9939585494010481
0.5465465465465466,0.9999999993835866,0.9999999278263833,0.994441340832183
0.5485485485485485,0.999999999460085,0.9999999375774052,0.994887971500168
0.5505505505505506,0.9999999995270684,0.999999946019404,0.9953009163906082
0.5525525525525525,0.9999999995857225,0.9999999533268048,0.9956825031924645
0.5545545545545546,0.9999999996370849,0.9999999596509923,0.9960349189880665
0.5565565565565566,0.9999999996820639,0.999999965123323,0.9963602168399058
0.5585585585585585,0.9999999997214545,0.9999999698577493,0.9966603222530156
0.5605605605605606,0.9999999997559522,0.9999999739531026,0.9969370394947175
0.5625625625625625,0.9999999997861665,0.9999999774950813,0.9971920577562892
0.5645645645645646,0.99999999981263,0.99999998055798,0.9974269571436636
0.5665665665665666,0.9999999998358097,0.9999999832061932,0.9976432144866308
0.5685685685685685,0.9999999998561138,0.999999985495523,0.9978422089581761
0.5705705705705706,0.9999999998739,0.9999999874743161,0.9980252274975602
0.5725725725725725,0.9999999998894813,0.9999999891844512,0.9981934700325388
0.5745745745745746,0.9999999999031317,0.9999999906621976,0.9983480544977333
0.5765765765765766,0.9999999999150911,0.9999999919389605,0.9984900216476189
